dataset,algorithm,fold,roc_auc,train_time_s,inference_time_s,error
pc4,random_forest,0,0.9541015625,0.0910490030655637,0.0129924359498545,
pc4,random_forest,1,0.9480794270833334,0.0808907410828396,0.0129369330825284,
pc4,random_forest,2,0.94970703125,0.0812560890335589,0.0129450539825484,
pc4,random_forest,3,0.9392299107142856,0.0817701290361583,0.0129290409386157,
pc4,random_forest,4,0.9256696428571428,0.0817334039602428,0.0129216989735141,
pc4,xgboost,0,0.9569227430555556,0.8983365440508351,0.0048936879029497,
pc4,xgboost,1,0.9480251736111112,0.043499688967131,0.0046101229963824,
pc4,xgboost,2,0.9578993055555556,0.0430367259541526,0.0046639539068564,
pc4,xgboost,3,0.9376116071428572,0.0426710289902985,0.0049688710132613,
pc4,xgboost,4,0.9345982142857144,0.0430690350476652,0.0044871889986097,
pc4,lightgbm,0,0.955078125,0.0449735369766131,0.001422610017471,
pc4,lightgbm,1,0.9484592013888888,0.0396297939587384,0.0012571329716593,
pc4,lightgbm,2,0.9398871527777778,0.0401698839850723,0.0012930259108543,
pc4,lightgbm,3,0.9368303571428572,0.0391852689208462,0.0012551000108942,
pc4,lightgbm,4,0.9389508928571428,0.0407910339999944,0.0012654549209401,
pc4,catboost,0,0.9613715277777778,4.766556788934395,0.0018293389584869,
pc4,catboost,1,0.9507378472222222,4.766612402047031,0.0016930949641391,
pc4,catboost,2,0.9520399305555556,4.5188954720506445,0.0017012470634654,
pc4,catboost,3,0.9454241071428572,4.607387566938996,0.0015654950402677,
pc4,catboost,4,0.9410714285714286,4.968790718005039,0.0018034210661426,
pc4,tabpfn,0,0.9717881944444444,0.7946953549981117,1.3937007579952478,
pc4,tabpfn,1,0.9627821180555556,0.3901458730688318,0.2997020150069147,
pc4,tabpfn,2,0.9605034722222222,0.3889300019945949,0.299622225924395,
pc4,tabpfn,3,0.9533482142857144,0.3904751860536635,0.4392260890454054,
pc4,tabpfn,4,0.9520089285714286,0.3401394190732389,0.3005764650879428,
pc4,tabicl,0,0.9722222222222222,0.2965168659575283,0.2535924579715356,
pc4,tabicl,1,0.9684787326388888,0.2519807949429378,0.0802082800073549,
pc4,tabicl,2,0.9679904513888888,0.2550425690133124,0.0801997969392687,
pc4,tabicl,3,0.948325892857143,0.2562922709621489,0.134700020076707,
pc4,tabicl,4,0.9576450892857142,0.2539092829683795,0.0803353600203991,
pc3,random_forest,0,0.8380226868327403,0.0942512680776417,0.0130517950747162,
pc3,random_forest,1,0.863100533807829,0.0915553419617936,0.0130458149360492,
pc3,random_forest,2,0.897075177935943,0.0933939949609339,0.0130006789695471,
pc3,random_forest,3,0.7563058035714285,0.0920682899886742,0.0130592060741037,
pc3,random_forest,4,0.81328125,0.0832401800435036,0.0129951399285346,
pc3,xgboost,0,0.8410809608540925,0.8671429730020463,0.0049165820237249,
pc3,xgboost,1,0.8406361209964412,0.0508099859580397,0.004700509016402,
pc3,xgboost,2,0.8617660142348755,0.0495430590817704,0.0046364630106836,
pc3,xgboost,3,0.7558035714285715,0.0490710720187053,0.0050990449963137,
pc3,xgboost,4,0.8306919642857143,0.0482868179678916,0.0045268189860507,
pc3,lightgbm,0,0.8390791814946619,0.0501211150549352,0.0014912131009623,
pc3,lightgbm,1,0.8470862989323843,0.0462023769505322,0.0013835720019415,
pc3,lightgbm,2,0.8764457295373665,0.0452502210391685,0.0013751389924436,
pc3,lightgbm,3,0.7449776785714286,0.047048814012669,0.0013699010014533,
pc3,lightgbm,4,0.8095982142857143,0.0462590620154514,0.0013825000496581,
pc3,catboost,0,0.8316281138790036,4.517053764080629,0.001850550994277,
pc3,catboost,1,0.8556494661921707,4.441411653067917,0.0016471169656142,
pc3,catboost,2,0.8604314946619218,4.376789782894775,0.0017493589548394,
pc3,catboost,3,0.8205357142857144,4.590050854953006,0.0016541570657864,
pc3,catboost,4,0.8322544642857143,4.781737911980599,0.0020428089192137,
pc3,tabpfn,0,0.8906806049822064,0.7033668520161882,1.0359378079883754,
pc3,tabpfn,1,0.8723309608540925,0.3863837489625439,0.3023874670034274,
pc3,tabpfn,2,0.9000222419928826,0.3319417940219864,0.2997069330886006,
pc3,tabpfn,3,0.8099330357142858,0.3325697840191424,0.4406675070058554,
pc3,tabpfn,4,0.8290178571428571,0.3340633410261944,0.3000039879698306,
pc3,tabicl,0,0.8895685053380783,0.2414810109185055,0.2450530210044235,
pc3,tabicl,1,0.8916814946619217,0.2537052169209346,0.0815634590107947,
pc3,tabicl,2,0.8976312277580072,0.2524165260838344,0.0817486359737813,
pc3,tabicl,3,0.8318080357142857,0.250235170009546,0.1363005760358646,
pc3,tabicl,4,0.8408482142857143,0.2524638979230076,0.081769387004897,
jm1,random_forest,0,0.7583798202565755,0.2637515009846538,0.0131522750016301,
jm1,random_forest,1,0.7388099978898273,0.2495037349872291,0.0131300019565969,
jm1,random_forest,2,0.7397419908126329,0.2539129570359364,0.0131787749705836,
jm1,random_forest,3,0.7447157759754138,0.2528527600225061,0.0131339279469102,
jm1,random_forest,4,0.7570995530711171,0.2539786560228094,0.0131507029291242,
jm1,xgboost,0,0.738255401230393,0.8852554259356111,0.0040407110936939,
jm1,xgboost,1,0.7140797212407816,0.0707379480591043,0.003920431016013,
jm1,xgboost,2,0.7182818054420812,0.070365490973927,0.0039461890701204,
jm1,xgboost,3,0.7301542319783139,0.0695157579611986,0.0038724889745935,
