dataset,algorithm,n_folds,n_failed,roc_auc_mean,roc_auc_std,train_time_median_s,inference_time_median_s
Bioresponse,catboost,15,0,0.8732120803177053,0.010231200648908258,18.35828727390617,0.041380814043805
Bioresponse,lightgbm,15,0,0.8735562125628898,0.01140443407523605,0.8792052380740643,0.0193309730384498
Bioresponse,random_forest,15,0,0.8713427267717769,0.01222124968397657,1.226472418056801,0.0446869099978357
Bioresponse,tabicl,15,0,0.8622184311178713,0.014587962138079995,17.51278743892908,7.143941429210827
Bioresponse,tabpfn,15,0,0.8801356831609028,0.0109083969349646,2.2861363601405174,3.882378274109215
Bioresponse,xgboost,15,0,0.8715175835739679,0.01176764898295429,1.6336175531614572,0.0588444059249013
CIFAR_10,catboost,15,0,0.910360695473251,0.0014531408468679463,3415.7250269439974,0.1314572929986752
CIFAR_10,lightgbm,15,0,0.8948702294238683,0.0017551285299552497,221.5800202429964,0.4133070500101894
CIFAR_10,random_forest,15,0,0.8507992937242798,0.002086461321444026,59.532478980007,0.4302111069991952
CIFAR_10,tabicl,15,15,,,,
CIFAR_10,tabpfn,15,15,,,,
CIFAR_10,xgboost,15,0,0.8980763991769547,0.0020554458101581393,517.9415901140019,0.1891597600042587
Devnagari-Script,catboost,15,0,0.9993571058776168,4.646109739545874e-05,6836.401268440008,0.1389240510179661
Devnagari-Script,lightgbm,15,0,0.9981331696859904,0.00015446087548300996,348.7752178009832,1.2023075460456312
Devnagari-Script,random_forest,15,0,0.9961848742954911,0.00018096665421771826,29.96299033798277,0.3453586570103653
Devnagari-Script,tabicl,15,0,0.9998863788244766,1.6780024638981853e-05,45.67284386791289,226.87464863597413
Devnagari-Script,tabpfn,15,0,0.9997773578904993,2.2324626216688925e-05,1.7585624450584874,28.18947287101764
Devnagari-Script,xgboost,15,0,0.9983362344001611,0.00010374625499973834,853.473773278005,0.3825617150287144
Fashion-MNIST,catboost,15,0,0.9931737040816326,0.00030349174486697954,802.1728623840027,0.0404035979881882
Fashion-MNIST,lightgbm,15,0,0.9933960827664399,0.0003047751360326961,39.67503651299921,0.144187226993381
Fashion-MNIST,random_forest,15,0,0.9906807165532879,0.0003259574651468561,15.779242171993246,0.1450310840009478
Fashion-MNIST,tabicl,15,0,0.9951341942554799,0.0002458403135944485,28.20101616100873,101.52411627399852
Fashion-MNIST,tabpfn,15,0,0.9942575905139834,0.00026059599216665447,0.8953155880153645,22.767509030003566
Fashion-MNIST,xgboost,15,0,0.993531410430839,0.0002455071451468682,88.37596460799978,0.0601855720015009
GesturePhaseSegmentationProcessed,catboost,15,0,0.8982535687403522,0.005388181153456079,9.627353501971813,0.0048938188701868
GesturePhaseSegmentationProcessed,lightgbm,15,0,0.8890157489998394,0.004679052080242742,0.626949513098225,0.013066726969555
GesturePhaseSegmentationProcessed,random_forest,15,0,0.8921824887886924,0.005846370093528222,0.6514979528728873,0.0259144068695604
GesturePhaseSegmentationProcessed,tabicl,15,0,0.9617204080881512,0.0029542803472974986,0.6159862980712205,0.4806001279503107
GesturePhaseSegmentationProcessed,tabpfn,15,0,0.9602339024369727,0.0032244253617200493,0.5769965269137174,1.0772447779309005
GesturePhaseSegmentationProcessed,xgboost,15,0,0.8927203364412792,0.0044012932406174545,0.9463664409704506,0.0068651980254799
Internet-Advertisements,catboost,15,0,0.9757817768109166,0.013957871468724107,3.034287203045096,0.1158283519907854
