dataset,catboost,lightgbm,random_forest,tabicl,tabpfn,xgboost,saturated
Bioresponse,0.8732120803177053,0.8735562125628898,0.8713427267717769,0.8622184311178713,0.8801356831609028,0.8715175835739679,False
CIFAR_10,0.910360695473251,0.8948702294238683,0.8507992937242798,,,0.8980763991769547,False
Devnagari-Script,0.9993571058776168,0.9981331696859904,0.9961848742954911,0.9998863788244766,0.9997773578904993,0.9983362344001611,True
Fashion-MNIST,0.9931737040816326,0.9933960827664399,0.9906807165532879,0.9951341942554799,0.9942575905139834,0.993531410430839,True
GesturePhaseSegmentationProcessed,0.8982535687403522,0.8890157489998394,0.8921824887886924,0.9617204080881512,0.9602339024369727,0.8927203364412792,False
Internet-Advertisements,0.9757817768109166,0.980885598623804,0.9846922619471186,0.9836693133929489,0.9869611033174863,0.978465649881006,False
MiceProtein,0.9999983669736756,0.9999570587015828,0.9999012918656487,1.0,1.0,0.9997118075259254,True
PhishingWebsites,0.9953718670543807,0.9958753602141343,0.9956433548677981,0.9983494608910713,0.9983579697684456,0.9965912609862108,True
adult,0.9301677329335483,0.929367539807855,0.9061449180782207,0.9264653789642091,0.9182663624429648,0.9277345792128283,False
analcatdata_authorship,0.9997378246020291,0.9998330846534842,0.9998765377352415,1.0,1.0,0.9995166705820052,True
analcatdata_dmft,0.5535501786238431,0.560505239392201,0.5385062476748284,0.5887472038568285,0.5844967910583561,0.5477036421923176,False
balance-scale,0.950633789983755,0.9279147901400442,0.8386717026917487,0.9993417837715018,0.9993727119226833,0.9318101638493049,True
bank-marketing,0.9380138096630416,0.9363952315764981,0.9269203801275059,0.941907960802761,0.9449042438321489,0.9306348777312029,False
banknote-authentication,0.9999749521129514,0.9996308138824507,0.9998834544842766,1.0,1.0,0.9998746195822784,True
blood-transfusion-service-center,0.7360960271047989,0.6981792444073146,0.686112271419289,0.7587099693678641,0.7592831616077229,0.6815884618954794,False
breast-w,0.9930718947078752,0.9925879395793993,0.9918372273061159,0.9949495361928814,0.9943276090098406,0.9901605851569805,False
car,0.9996961351735622,0.9992021824202714,0.9986868432830718,0.9999128066524674,0.9999695734537845,0.9997366409849227,True
churn,0.924030311029135,0.9189432726708546,0.9166110071809146,0.9316345852378771,0.9345658787872994,0.9213491845147955,False
climate-model-simulation-crashes,0.956241401162036,0.9422628400406178,0.91949609473419,0.9638531192499447,0.9565406903502142,0.944623330813807,False
cmc,0.7249621414625558,0.7080781041586809,0.7013582197028022,0.7515922616443287,0.7533381788951606,0.7050332863760526,False
cnae-9,0.9951581790123457,0.9809349279835391,0.9942788708847736,0.9982253086419753,0.9947354038065844,0.9931600437242797,True
connect-4,0.9195636305111979,0.9133113246377979,0.8912254302311388,0.9423570239027687,0.940023821196131,0.9173164558267587,False
credit-approval,0.9360894484179295,0.9318756183280662,0.931460322661372,0.9403873096760459,0.938200478119485,0.9326680572157764,False
credit-g,0.7882063492063492,0.7700317460317461,0.7810833333333334,0.7947063492063492,0.7936746031746031,0.7722936507936509,False
cylinder-bands,0.8726839174712012,0.8806878059519481,0.8892125908940619,0.9125237031595143,0.9090555922471147,0.8836626503838597,False
diabetes,0.8335105986489635,0.8000505474027487,0.8252961798276264,0.8405301653855113,0.8397961798276263,0.7915590496156534,False
dna,0.9946429174797585,0.9945559008868013,0.9931511329850765,0.9955906980500993,0.9951157274985635,0.9947356041013872,True
dresses-sales,0.6045429666119321,0.5678708264915161,0.5933087027914614,0.6259168035030104,0.6220032840722496,0.5585933223864258,False
electricity,0.9562250769425235,0.9545433341207133,0.9702325327120993,0.980425766387712,0.98525192768337,0.9696803461826324,False
eucalyptus,0.9147335062476168,0.9087689320220452,0.9138874107454468,0.9373930885387384,0.9317592506134508,0.9076730616481619,False
first-order-theorem-proving,0.84392345096146,0.8416385103619733,0.8378681338206425,0.8627323905506379,0.8559069868867334,0.8413309314415758,False
har,0.9998756723386654,0.9998932474068792,0.999492043490661,0.9999866632562083,0.9999727834275044,0.9998759637120631,True
ilpd,0.7564028288691648,0.7489922170645062,0.7497061414318679,0.787776076720088,0.7724512854916824,0.7353432233304663,False
isolet,0.9993183481256566,0.9990486631810909,0.9984018514675436,0.999734578468476,0.9995829892573126,0.9988498597793607,True
jm1,0.7459105979955017,0.7426449619675783,0.7485224789198733,0.7803014036601984,0.7781761845822891,0.7228578875320483,False
jungle_chess_2pcs_raw_endgame_complete,0.975415015736891,0.9746769606661225,0.9385221493464793,0.9871777884438161,0.9977831895161737,0.977895930959693,True
kc1,0.826582726959462,0.7807320471993308,0.8244793654608593,0.8569834070974189,0.8538649996548212,0.788050435647924,False
kc2,0.8235982892609398,0.7841330690728281,0.8184373859072653,0.8442001773327075,0.8389740781307046,0.7681496548966429,False
kr-vs-kp,0.9994897731729436,0.9997160249692792,0.9987912978373139,0.9997749051974899,0.999726518636747,0.999706887030119,True
letter,0.9997134617639271,0.9996841681696698,0.9995043213966316,0.9999684091669339,0.9999719566248036,0.9996240302583236,True
madelon,0.9246489151873767,0.8946854043392506,0.778569526627219,0.970568540433925,0.9666785009861933,0.8838293885601577,False
mfeat-factors,0.9989750000000001,0.9987212962962962,0.9979108796296295,0.999888425925926,0.9997967592592593,0.9983425925925926,True
mfeat-fourier,0.9839546296296295,0.9816231481481481,0.9812381944444444,0.993675,0.9924273148148148,0.9817138888888889,False
mfeat-karhunen,0.9990791666666667,0.9983425925925926,0.9972701388888888,0.99985,0.9997879629629629,0.9975560185185185,True
mfeat-morphological,0.963775925925926,0.9565833333333333,0.9553530092592593,0.9704157407407407,0.9696912037037038,0.957987037037037,False
mfeat-pixel,0.999425462962963,0.9989925925925927,0.9986604166666666,0.9997939814814815,0.9996791666666667,0.998750462962963,True
