dataset,catboost,lightgbm,random_forest,tabicl,tabpfn,xgboost
Bioresponse,3.0,2.0,5.0,6.0,1.0,4.0
CIFAR_10,1.0,3.0,4.0,5.5,5.5,2.0
Devnagari-Script,3.0,5.0,6.0,1.0,2.0,4.0
Fashion-MNIST,5.0,4.0,6.0,1.0,2.0,3.0
GesturePhaseSegmentationProcessed,3.0,6.0,5.0,1.0,2.0,4.0
Internet-Advertisements,6.0,4.0,2.0,3.0,1.0,5.0
MiceProtein,3.0,4.0,5.0,1.5,1.5,6.0
PhishingWebsites,6.0,4.0,5.0,2.0,1.0,3.0
adult,1.0,2.0,6.0,4.0,5.0,3.0
analcatdata_authorship,5.0,4.0,3.0,1.5,1.5,6.0
analcatdata_dmft,4.0,3.0,6.0,1.0,2.0,5.0
balance-scale,3.0,5.0,6.0,2.0,1.0,4.0
bank-marketing,3.0,4.0,6.0,2.0,1.0,5.0
banknote-authentication,3.0,6.0,4.0,1.5,1.5,5.0
blood-transfusion-service-center,3.0,4.0,5.0,2.0,1.0,6.0
breast-w,3.0,4.0,5.0,1.0,2.0,6.0
car,4.0,5.0,6.0,2.0,1.0,3.0
churn,3.0,5.0,6.0,2.0,1.0,4.0
climate-model-simulation-crashes,3.0,5.0,6.0,1.0,2.0,4.0
cmc,3.0,4.0,6.0,2.0,1.0,5.0
cnae-9,2.0,6.0,4.0,1.0,3.0,5.0
connect-4,3.0,5.0,6.0,1.0,2.0,4.0
credit-approval,3.0,5.0,6.0,1.0,2.0,4.0
credit-g,3.0,6.0,4.0,1.0,2.0,5.0
cylinder-bands,6.0,5.0,3.0,1.0,2.0,4.0
diabetes,3.0,5.0,4.0,1.0,2.0,6.0
dna,4.0,5.0,6.0,1.0,2.0,3.0
dresses-sales,3.0,5.0,4.0,1.0,2.0,6.0
electricity,5.0,6.0,3.0,2.0,1.0,4.0
eucalyptus,3.0,5.0,4.0,1.0,2.0,6.0
first-order-theorem-proving,3.0,4.0,6.0,1.0,2.0,5.0
har,5.0,3.0,6.0,1.0,2.0,4.0
ilpd,3.0,5.0,4.0,1.0,2.0,6.0
isolet,3.0,4.0,6.0,1.0,2.0,5.0
jm1,4.0,5.0,3.0,1.0,2.0,6.0
jungle_chess_2pcs_raw_endgame_complete,4.0,5.0,6.0,2.0,1.0,3.0
kc1,3.0,6.0,4.0,1.0,2.0,5.0
kc2,3.0,5.0,4.0,1.0,2.0,6.0
kr-vs-kp,5.0,3.0,6.0,1.0,2.0,4.0
letter,3.0,4.0,6.0,2.0,1.0,5.0
madelon,3.0,4.0,6.0,1.0,2.0,5.0
mfeat-factors,3.0,4.0,6.0,1.0,2.0,5.0
mfeat-fourier,3.0,5.0,6.0,1.0,2.0,4.0
mfeat-karhunen,3.0,4.0,6.0,1.0,2.0,5.0
mfeat-morphological,3.0,5.0,6.0,1.0,2.0,4.0
mfeat-pixel,3.0,4.0,6.0,1.0,2.0,5.0
mfeat-zernike,3.0,6.0,4.0,1.0,2.0,5.0
mnist_784,5.0,4.0,6.0,1.0,2.0,3.0
nomao,4.0,5.0,6.0,1.0,2.0,3.0
numerai28.6,4.0,3.0,5.0,2.0,1.0,6.0
optdigits,3.0,4.0,5.0,1.0,2.0,6.0
ozone-level-8hr,3.0,5.0,6.0,2.0,1.0,4.0
pc1,3.0,4.0,6.0,1.0,2.0,5.0
pc3,3.0,5.0,4.0,1.0,2.0,6.0
pc4,3.0,4.0,6.0,1.0,2.0,5.0
pendigits,3.0,5.0,6.0,1.0,2.0,4.0
phoneme,6.0,5.0,3.0,2.0,1.0,4.0
qsar-biodeg,3.0,4.0,5.0,1.0,2.0,6.0
satimage,3.0,4.0,6.0,2.0,1.0,5.0
segment,3.0,5.0,4.0,1.0,2.0,6.0
semeion,3.0,4.0,5.0,1.0,2.0,6.0
sick,1.0,4.0,5.0,3.0,2.0,6.0
spambase,4.0,3.0,6.0,1.0,2.0,5.0
splice,3.0,4.0,6.0,1.0,2.0,5.0
steel-plates-fault,4.0,3.0,6.0,1.0,2.0,5.0
texture,3.0,4.0,6.0,1.5,1.5,5.0
tic-tac-toe,1.5,5.0,6.0,4.0,3.0,1.5
vehicle,3.0,4.0,6.0,2.0,1.0,5.0
vowel,3.0,5.0,4.0,1.0,2.0,6.0
wall-robot-navigation,2.0,3.0,4.0,5.0,6.0,1.0
wdbc,3.0,5.0,6.0,2.0,1.0,4.0
wilt,3.0,5.0,6.0,1.0,2.0,4.0
