a,b,n,mean_diff,wins_a,wins_b,ties,p,p_holm,significant
catboost,lightgbm,72,0.00611283169529123,58,14,0,6.72194204367014e-08,3.36097102183507e-07,True
catboost,random_forest,72,0.009769822471080804,65,7,0,5.341720999773529e-09,3.7392046998414705e-08,True
catboost,tabicl,71,-0.011092174236971512,5,66,0,1.7340236994710063e-11,1.387218959576805e-10,True
catboost,tabpfn,71,-0.010118334804688232,5,66,0,9.962379321717468e-12,8.966141389545721e-11,True
catboost,xgboost,72,0.007424450192702535,57,14,1,2.998105385686226e-08,1.7988632314117356e-07,True
lightgbm,random_forest,72,0.0036569907757895734,52,20,0,0.013974362044180145,0.041923086132540435,True
lightgbm,tabicl,71,-0.01707292657516286,3,68,0,4.648633797221073e-12,4.716047312574412e-11,True
lightgbm,tabpfn,71,-0.016099087142879585,2,69,0,1.819017816862587e-12,2.5466249436076216e-11,True
lightgbm,xgboost,72,0.0013116184974113056,41,31,0,0.17092013836342068,0.2651967982759448,False
random_forest,tabicl,71,-0.020160706859067946,3,68,0,1.819017816862587e-12,2.5466249436076216e-11,True
random_forest,tabpfn,71,-0.01918686742678466,1,70,0,2.881725348111717e-13,4.322588022167575e-12,True
random_forest,xgboost,72,-0.002345372278378268,27,45,0,0.1325983991379724,0.2651967982759448,False
tabicl,tabpfn,71,0.0009738394322832786,47,20,4,0.0011585888252901553,0.004634355301160621,True
tabicl,xgboost,71,0.018448175893003703,67,4,0,4.287315738704011e-12,4.716047312574412e-11,True
tabpfn,xgboost,71,0.017474336460720434,68,3,0,1.9749890033968362e-12,2.5466249436076216e-11,True
