a,b,n,mean_diff,wins_a,wins_b,ties,p,p_holm,significant
catboost,lightgbm,39,0.009989823408026606,31,8,0,5.268517270451412e-06,3.161110362270847e-05,True
catboost,random_forest,39,0.013248290053841788,34,5,0,3.24848442687653e-05,0.0001624242213438265,True
catboost,tabicl,38,-0.018268376584987766,2,36,0,1.8408172763884068e-09,1.656735548749566e-08,True
catboost,tabpfn,38,-0.01635365889723211,1,37,0,2.2337189875543118e-09,1.7869751900434494e-08,True
catboost,xgboost,39,0.012832035039570141,35,4,0,6.247391866054386e-07,4.37317430623807e-06,True
lightgbm,random_forest,39,0.0032584666458151832,24,15,0,0.4511742132890504,0.9023484265781008,False
lightgbm,tabicl,38,-0.02811344623929447,2,36,0,5.093170329928398e-10,5.093170329928398e-09,True
lightgbm,tabpfn,38,-0.02619872855153882,1,37,0,4.001776687800884e-10,4.401954356580973e-09,True
lightgbm,xgboost,39,0.0028422116315435344,24,15,0,0.0459091394150164,0.1377274182450492,False
random_forest,tabicl,38,-0.030297900541589307,2,36,0,1.0186340659856796e-10,1.4260876923799515e-09,True
random_forest,tabpfn,38,-0.02838318285383365,0,38,0,7.275957614183426e-12,1.0913936421275139e-10,True
random_forest,xgboost,39,-0.0004162550142716487,18,21,0,0.8739367569032765,0.9023484265781008,False
tabicl,tabpfn,38,0.001914717687755655,27,11,0,0.004935318291245494,0.019741273164981976,True
tabicl,xgboost,38,0.031114825802012483,36,2,0,1.382431946694851e-10,1.6589183360338211e-09,True
tabpfn,xgboost,38,0.029200108114256825,37,1,0,1.0186340659856796e-10,1.4260876923799515e-09,True
