dataset,algorithm,n_folds,n_failed,roc_auc_mean,roc_auc_std,train_time_median_s,inference_time_median_s
credit-g,catboost,5,0,0.7893095238095238,0.03087976830714482,3.5873956760042347,0.0026894329930655
credit-g,lightgbm,5,0,0.7667619047619048,0.026524840751091176,0.0739138969802297,0.0038239500136114
credit-g,random_forest,5,0,0.7812023809523809,0.020723152522082997,0.1083246510243043,0.0172847859794273
credit-g,tabicl,5,0,0.7964523809523809,0.02052689596723985,0.3437960689770989,0.1006472769659012
credit-g,tabpfn,5,0,0.7976428571428571,0.0238852070938025,0.4312839100020937,0.3029805730329826
credit-g,xgboost,5,0,0.7800476190476191,0.0188465202764493,0.0417106749955564,0.0017674029804766
diabetes,catboost,5,0,0.8298972746331238,0.028059917961321963,0.6106704619596712,0.001021617965307
diabetes,lightgbm,5,0,0.7973116701607268,0.02936693383782378,0.0444821799756027,0.0011040209792554
diabetes,random_forest,5,0,0.82379035639413,0.02519762287423024,0.1011738340021111,0.0140525010065175
diabetes,tabicl,5,0,0.8407239692522712,0.01812924764396841,0.2592917900183238,0.0647628779988735
diabetes,tabpfn,5,0,0.8382718378756115,0.02361492429251907,0.3692582569783553,0.4113541879924014
diabetes,xgboost,5,0,0.7823207547169811,0.039481199942030504,0.0410121289896778,0.0014197540003806
sick,catboost,5,0,0.9981272801790368,0.0021570090042454144,2.363651607010979,0.0041698269778862
sick,lightgbm,5,0,0.9973385579669711,0.0021539707731158425,0.0894662709906697,0.0058451339718885
sick,random_forest,5,0,0.9963957801679022,0.0007835015923012032,0.1290371550130657,0.0199244850082322
sick,tabicl,5,0,0.9981612256689771,0.0010280842646211642,0.4260516339563764,0.2078462230274453
sick,tabpfn,5,0,0.9984303243806611,0.0010642755732734974,0.5043504000059329,0.6021390500245616
sick,xgboost,5,0,0.9953153379168764,0.006908485267842026,0.047421547002159,0.0022892039851285
