run_id,dataset,dataset_id,algorithm,repeat,fold,n_train,n_test,n_features,n_categorical,n_classes,roc_auc,train_time_s,inference_time_s,warmup_s,device,preprocessing,raw_error,error,git_commit,hostname,timestamp
subset_v2_local,credit-g,31,random_forest,0,0,800,200,20,13,2,0.7825595238095236,0.23818655399918498,0.03374347800126998,,cpu x12,median imputacija (numerične) + most-frequent imputacija in ordinalno kodiranje (kategorične); RandomForest nima nativne podpore za NaN/kategorije,,,fbcf686,Kremen,2026-09-09T12:45:48+02:00
subset_v2_local,credit-g,31,random_forest,0,1,800,200,20,13,2,0.7800595238095238,0.24851395700170542,0.03439188699849183,,cpu x12,median imputacija (numerične) + most-frequent imputacija in ordinalno kodiranje (kategorične); RandomForest nima nativne podpore za NaN/kategorije,,,fbcf686,Kremen,2026-09-09T12:45:48+02:00
subset_v2_local,credit-g,31,random_forest,0,2,800,200,20,13,2,0.7613095238095239,0.22810607199971855,0.03403631400033191,,cpu x12,median imputacija (numerične) + most-frequent imputacija in ordinalno kodiranje (kategorične); RandomForest nima nativne podpore za NaN/kategorije,,,fbcf686,Kremen,2026-09-09T12:45:49+02:00
subset_v2_local,credit-g,31,random_forest,0,3,800,200,20,13,2,0.8147619047619048,0.2346578619999491,0.03379146699990088,,cpu x12,median imputacija (numerične) + most-frequent imputacija in ordinalno kodiranje (kategorične); RandomForest nima nativne podpore za NaN/kategorije,,,fbcf686,Kremen,2026-09-09T12:45:49+02:00
subset_v2_local,credit-g,31,random_forest,0,4,800,200,20,13,2,0.7673214285714285,0.24089013999946474,0.035320060000231024,,cpu x12,median imputacija (numerične) + most-frequent imputacija in ordinalno kodiranje (kategorične); RandomForest nima nativne podpore za NaN/kategorije,,,fbcf686,Kremen,2026-09-09T12:45:49+02:00
subset_v2_local,credit-g,31,xgboost,0,0,800,200,20,13,2,0.7747619047619048,0.18526835100055905,0.0017601729996385984,,cpu x12,nativna obravnava NaN (numerične ostanejo nespremenjene); kategorične stolpce ordinalno kodiramo v številske kode (NaN ohranjen),,,fbcf686,Kremen,2026-09-09T12:45:50+02:00
subset_v2_local,credit-g,31,xgboost,0,1,800,200,20,13,2,0.7491666666666666,0.02769885399902705,0.0017647509994276334,,cpu x12,nativna obravnava NaN (numerične ostanejo nespremenjene); kategorične stolpce ordinalno kodiramo v številske kode (NaN ohranjen),,,fbcf686,Kremen,2026-09-09T12:45:50+02:00
subset_v2_local,credit-g,31,xgboost,0,2,800,200,20,13,2,0.790952380952381,0.029404840999632142,0.0022890389991516713,,cpu x12,nativna obravnava NaN (numerične ostanejo nespremenjene); kategorične stolpce ordinalno kodiramo v številske kode (NaN ohranjen),,,fbcf686,Kremen,2026-09-09T12:45:50+02:00
subset_v2_local,credit-g,31,xgboost,0,3,800,200,20,13,2,0.791904761904762,0.031796601999303675,0.0021704580012738006,,cpu x12,nativna obravnava NaN (numerične ostanejo nespremenjene); kategorične stolpce ordinalno kodiramo v številske kode (NaN ohranjen),,,fbcf686,Kremen,2026-09-09T12:45:50+02:00
subset_v2_local,credit-g,31,xgboost,0,4,800,200,20,13,2,0.7934523809523809,0.0284677580002608,0.002145892000044114,,cpu x12,nativna obravnava NaN (numerične ostanejo nespremenjene); kategorične stolpce ordinalno kodiramo v številske kode (NaN ohranjen),,,fbcf686,Kremen,2026-09-09T12:45:50+02:00
subset_v2_local,credit-g,31,lightgbm,0,0,800,200,20,13,2,0.7780952380952382,0.04716727599952719,0.0038318669994623633,,cpu x12,nativna obravnava NaN; kategorične stolpce pretvorimo v pandas 'category' dtype za nativno kategorično podporo LightGBM; preostale stolpce eksplicitno pretvorimo v float (nekateri numerični OpenML atributi se zaradi manjkajočih vrednosti naložijo kot object dtype),,,fbcf686,Kremen,2026-09-09T12:45:50+02:00
subset_v2_local,credit-g,31,lightgbm,0,1,800,200,20,13,2,0.7411904761904762,0.034604815000420786,0.003631423000115319,,cpu x12,nativna obravnava NaN; kategorične stolpce pretvorimo v pandas 'category' dtype za nativno kategorično podporo LightGBM; preostale stolpce eksplicitno pretvorimo v float (nekateri numerični OpenML atributi se zaradi manjkajočih vrednosti naložijo kot object dtype),,,fbcf686,Kremen,2026-09-09T12:45:50+02:00
subset_v2_local,credit-g,31,lightgbm,0,2,800,200,20,13,2,0.7394047619047619,0.033623921999605955,0.0035741660012718057,,cpu x12,nativna obravnava NaN; kategorične stolpce pretvorimo v pandas 'category' dtype za nativno kategorično podporo LightGBM; preostale stolpce eksplicitno pretvorimo v float (nekateri numerični OpenML atributi se zaradi manjkajočih vrednosti naložijo kot object dtype),,,fbcf686,Kremen,2026-09-09T12:45:50+02:00
subset_v2_local,credit-g,31,lightgbm,0,3,800,200,20,13,2,0.8020238095238095,0.03276091600127984,0.0034443849999661325,,cpu x12,nativna obravnava NaN; kategorične stolpce pretvorimo v pandas 'category' dtype za nativno kategorično podporo LightGBM; preostale stolpce eksplicitno pretvorimo v float (nekateri numerični OpenML atributi se zaradi manjkajočih vrednosti naložijo kot object dtype),,,fbcf686,Kremen,2026-09-09T12:45:50+02:00
subset_v2_local,credit-g,31,lightgbm,0,4,800,200,20,13,2,0.7730952380952381,0.03162574900125037,0.0043183979996683775,,cpu x12,nativna obravnava NaN; kategorične stolpce pretvorimo v pandas 'category' dtype za nativno kategorično podporo LightGBM; preostale stolpce eksplicitno pretvorimo v float (nekateri numerični OpenML atributi se zaradi manjkajočih vrednosti naložijo kot object dtype),,,fbcf686,Kremen,2026-09-09T12:45:50+02:00
subset_v2_local,credit-g,31,catboost,0,0,800,200,20,13,2,0.8044047619047618,2.4464730890013016,0.002282516999912332,,cpu x12,nativna obravnava NaN (numerične); kategorične stolpce pretvorimo v string (NaN -> 'nan' kot lastna kategorija) in podamo kot cat_features,,,fbcf686,Kremen,2026-09-09T12:45:52+02:00
subset_v2_local,credit-g,31,catboost,0,1,800,200,20,13,2,0.7486904761904761,2.3570838549985638,0.003139591999570257,,cpu x12,nativna obravnava NaN (numerične); kategorične stolpce pretvorimo v string (NaN -> 'nan' kot lastna kategorija) in podamo kot cat_features,,,fbcf686,Kremen,2026-09-09T12:45:55+02:00
subset_v2_local,credit-g,31,catboost,0,2,800,200,20,13,2,0.7767857142857143,2.367548121001164,0.002444118999846978,,cpu x12,nativna obravnava NaN (numerične); kategorične stolpce pretvorimo v string (NaN -> 'nan' kot lastna kategorija) in podamo kot cat_features,,,fbcf686,Kremen,2026-09-09T12:45:57+02:00
subset_v2_local,credit-g,31,catboost,0,3,800,200,20,13,2,0.8313095238095237,2.3916073800010054,0.00250589400093304,,cpu x12,nativna obravnava NaN (numerične); kategorične stolpce pretvorimo v string (NaN -> 'nan' kot lastna kategorija) in podamo kot cat_features,,,fbcf686,Kremen,2026-09-09T12:46:00+02:00
subset_v2_local,credit-g,31,catboost,0,4,800,200,20,13,2,0.7853571428571429,2.3367361779983185,0.0022694729996146634,,cpu x12,nativna obravnava NaN (numerične); kategorične stolpce pretvorimo v string (NaN -> 'nan' kot lastna kategorija) in podamo kot cat_features,,,fbcf686,Kremen,2026-09-09T12:46:02+02:00
subset_v2_local,credit-g,31,tabpfn,0,0,800,200,20,13,2,0.7938095238095239,0.6559710660003475,0.5866828830003215,2.637418455999068,cuda: NVIDIA GeForce RTX 3060,raw (brez predobdelave),,,fbcf686,Kremen,2026-09-09T12:46:06+02:00
