dataset,algorithm,n_folds,n_failed,roc_auc_mean,roc_auc_std,train_time_median_s,inference_time_median_s
credit-g,catboost,5,0,0.7893095238095238,0.03087976830714482,2.367548121001164,0.0024441189998469
credit-g,lightgbm,5,0,0.7667619047619048,0.026524840751091176,0.0336239219996059,0.0036314230001153
credit-g,random_forest,5,0,0.7812023809523809,0.020723152522082997,0.2381865539991849,0.0340363140003319
credit-g,tabicl,5,0,0.7964523809523809,0.02052689596723985,0.4525715720010339,0.4519850990000122
credit-g,tabpfn,5,0,0.7977142857142857,0.023900925749867536,0.4839750270002696,0.5790915280012996
credit-g,xgboost,5,0,0.7800476190476191,0.0188465202764493,0.0294048409996321,0.0021458920000441
diabetes,catboost,5,0,0.8298972746331238,0.028059917961321963,0.6149664450003911,0.0008633999987068
diabetes,lightgbm,5,0,0.7973116701607268,0.02936693383782378,0.0230311779996554,0.0008591719997639
diabetes,random_forest,5,0,0.82379035639413,0.02519762287423024,0.2296196429997508,0.0283235199985938
diabetes,tabicl,5,0,0.8407239692522712,0.01812924764396841,0.3366691430001083,0.2592524499996216
diabetes,tabpfn,5,0,0.8381600279524808,0.023572723204050034,0.4491952139997011,0.5455167339987383
diabetes,xgboost,5,0,0.7823207547169811,0.039481199942030504,0.0285677039992151,0.0014616059997933
sick,catboost,5,0,0.9981272801790368,0.0021570090042454144,2.206756212999608,0.0040693799983273
sick,lightgbm,5,0,0.9973385579669711,0.0021539707731158425,0.0644944109990319,0.0068872289994033
sick,random_forest,5,0,0.9963957801679022,0.0007835015923012032,0.2591445260004548,0.0555962870002986
sick,tabicl,5,0,0.9981642308378678,0.0010219594838965962,0.5135500109990971,0.934844000999874
sick,tabpfn,5,0,0.9984364567164679,0.0010672733182883845,0.5175394210000377,1.5466067960005605
sick,xgboost,5,0,0.9953153379168764,0.006908485267842026,0.0374776230000861,0.0021955359989078
